Name,Matches,Runs,Bat_Average
Anura N Ranasinghe,9(1975-1982),153,21.86
Sirimewan K Ranasinghe,4(1986-1986),55,18.33
Arjuna Ranatunga,269(1982-1999),7456,35.85
Dammika Ranatunga,4(1990-1990),49,12.25
Nishantha Ranatunga,2(1993-1993),0,0
Sanjeeva Ranatunga,13(1994-1996),253,23
Seth Hayden Arnold Rance,2(2017-),0,N/A
Ujesh Ranchod,3(1992-1993),3,N/A
Derek W Randall,49(1976-1985),1067,26.68
Randhir Singh,2(1981-1983),0,N/A
Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,31(2009-),280,17.5
William Boyd Rankin,62(2007-),69,6.27
Mohammad Raqibul Hasan,55(2008-2011),1308,27.83
Raqibul Hasan,2(1986-1986),17,8.5
Adil Usman Rashid,83(2009-),529,19.59
Rashid Khan,54(2015-),687,22.16
Rashid Khan,29(1980-1985),110,13.75
Rashid Latif,166(1992-2003),1709,19.42
Rashid Zia,2(2004-2004),9,4.5
Vikram S Rathore,7(1996-1997),193,27.57
Nilantha L K Ratnayake,2(1989-1990),0,N/A
Rumesh Joseph Ratnayake,70(1982-1993),612,16.54
Joseph Ravindran Ratnayeke,78(1982-1990),824,14.98
Ajay Ratra,12(2002-2002),90,12.86
Sanjay S Raul,2(1998-1998),8,4
Damien Apa Ravu,4(2017-),6,2
Peter W E Rawson,10(1983-1987),80,16
Ambati T Rayudu,53(2013-),1674,49.24
Raza Hasan,1(2014-2014),0,0
Raza-ur-Rehman,6(2013-2014),225,45
Vivek Razdan,3(1989-1990),23,11.5
Christopher Mark Wells Read,36(2000-2006),300,17.65
Bharat Reddy,3(1978-1981),11,N/A
Aaron J Redmond,6(2009-2010),152,25.33
Rodney E Redmond,2(1973-1973),3,3
Ian R Redpath,5(1971-1975),46,9.2
Darren J Reekers,19(2006-2009),481,25.32
Dermot A Reeve,29(1991-1996),291,24.25
Basant Regmi,4(2018-),13,3.25
Bruce A Reid,61(1986-1992),49,3.77
Charles A Reid,2(2004-2004),8,4
John F Reid,25(1980-1986),633,27.52
Richard B Reid,9(1988-1991),248,27.56
Floyd L Reifer,8(1997-2009),117,14.63
Paul R Reiffel,92(1992-1999),503,13.97
Gavin J Rennie,42(1996-2003),635,20.48
John A Rennie,42(1993-2000),183,12.2
John B Reva,9(2016-),62,10.33
Jonathan N Rhodes,245(1992-2003),5935,35.12
Steven John Rhodes,9(1989-1995),107,17.83
Clive E B Rice,3(1991-1991),26,13
Austin C L Richards,1(2007-2007),2,2
Clifton J Richards,22(1981-1988),154,11.85
Dale M Richards,8(2009-2010),179,25.57
Isaac Vivian Alexander Richards,187(1975-1991),6721,47
David J Richardson,122(1991-1998),868,19.73
Edward J Richardson,2(2013-2013),12,12
Jhye Avon Richardson,7(2018-),39,9.75
Kane W Richardson,18(2013-),45,9
Mark H Richardson,4(2002-2002),42,10.5
Richard B Richardson,224(1983-1996),6248,33.41
Michael J R Rindel,22(1994-1999),575,27.38
Emmanuel B Ringera,1(2011-2011),0,N/A
Harry P Rinke,18(2006-2006),319,17.72
Michael J Rippon,6(2013-),71,23.67
Gregory Michael Ritchie,44(1982-1987),959,27.4
Stephen J Rixon,6(1978-1985),40,13.33
Chundangapoyil Puthiyapurayil Rizwan,2(2019-2019),61,30.5
Rizwan Ahmed,1(2008-2008),0,N/A
Rizwan Cheema,33(2008-2013),764,24.65
Rizwan Latif,1(2004-2004),0,0
Rizwan-Uz-Zaman,3(1981-1987),20,6.67
Kemar A J Roach,80(2008-),276,13.8
Andrew D G Roberts,1(1976-1976),16,16
Anderson M E Roberts,56(1975-1983),231,10.04
Stuart J Roberts,2(1990-1990),1,N/A
Gary K Robertson,10(1981-1989),49,8.17
Gavin R Robertson,13(1994-1998),45,15
Jacobi Robinson,3(2007-2009),27,13.5
Richard D Robinson,2(1977-1977),82,41
Robert T Robinson,26(1984-1988),597,22.96
Robiul Islam,3(2013-2013),0,N/A
Liam Nicholas Roche,3(2018-),4,2
Barney G Rogers,15(2002-2005),478,31.87
Glenn A Rogers,13(2006-2008),81,16.2
Rohan Mustafa,27(2014-),642,23.78
Rokhan Barakzai,1(2015-2015),0,N/A
Tobias Skelton Roland-Jones,1(2017-),37,N/A
Irvine H Romaine,35(2006-2009),783,25.26
Leon C Romero,2(2004-2004),1,0.5
Luke Ronchi,85(2008-),1397,23.68
Graham R J Roope,8(1973-1978),173,21.63
Joseph Edward Root,126(2013-),5090,50.9
Brian C Rose,2(1977-1977),99,49.5
Franklyn A Rose,27(1997-2000),217,12.06
Rilee Roscoe Rossouw,36(2014-),1239,38.72
Lawrence G Rowe,11(1975-1980),136,17
Jason Jonathan Roy,73(2015-),2661,38.57
Rubel Hossain,96(2009-),123,4.73
Jacobus A Rudolph,45(2003-2006),1174,35.58
Rumman Raees,9(2017-),27,9
David B Rundle,2(1994-1994),6,3
Mark W Rushmere,4(1992-1992),78,19.5
Andre Dwayne Russell,52(2011-),998,28.51
Robert Charles Russell,40(1987-1998),423,17.63
Hamish D Rutherford,4(2013-2013),15,3.75
Kenneth Robert Rutherford,121(1985-1995),3143,29.65
Jesse Daniel Ryder,48(2008-2014),1362,33.22
Hafiz Saad Nasim,3(2015-2015),99,49.5
Saadat Ali,8(1984-1984),184,30.67
Sabbir Rahman,57(2014-),1212,26.35
Sadiq Mohammad,19(1973-1980),383,21.28
Saeed Ajmal,113(2008-2015),324,7.04
Saeed Anwar,247(1989-2003),8824,39.22
Saeed Azad,4(1995-1996),65,16.25
Saeed-Al-Saffar,1(1996-1996),0,N/A
Sagar Pun,1(2018-),3,3
Anil K Sah,2(2018-),25,12.5
Wriddhiman Prasanta Saha,9(2010-2014),41,13.67
Saiful Islam,7(1990-1997),37,18.5
Sajid Ali,13(1984-1997),130,10.83
Sajjad Ahmed,2(1995-1995),15,7.5
Sajjad Akbar,2(1990-1990),5,5
Salahuddin Ahmed,6(1997-1997),24,12
Saleem Altaf,6(1973-1978),25,25
Saleem Elahi,48(1995-2004),1579,36.72
Saleem Malik,283(1982-1999),7170,32.89
Saleem Pervez,1(1980-1980),18,18
Saleem Raza,6(1994-1996),159,26.5
Saleem Yousuf,86(1982-1990),768,17.86
Salim Jaffer,39(1986-1990),36,18
Ian D K Salisbury,4(1993-1994),7,7
Salman Butt,78(2004-2010),2725,36.82
Salman Faris,3(2014-2014),43,14.33
Salman Farooq,1(2014-2014),0,N/A
George Salmond,5(1999-1999),57,11.4
Aavishkar M Salvi,4(2003-2003),4,2
Abdool M Samad,27(2003-2009),738,29.52
Johanne A Samarasekera,7(1994-1996),124,31
Maitipage Athula Rohitha Samarasekera,39(1983-1994),844,22.81
Dulip Prasamma Samaraweera,5(1993-1994),91,22.75
Thilan Thusara Samaraweera,53(1998-2011),862,27.81
Wedagedara Sadeera Rashen Samarawickrama,6(2017-),132,22
Sameer Zia,1(2004-2004),2,N/A
Sami Aslam,4(2015-),78,19.5
Samiullah Khan,2(2008-2008),0,N/A
Samiullah Shenwari,79(2009-),1733,29.37
Samiur Rahman,2(1986-1986),4,2
Darren J G Sammy,126(2004-2015),1871,24.95
Marlon Nathaniel Samuels,207(2000-),5606,32.98
Robert G Samuels,8(1996-1997),54,18
Paththamperuma Arachchige Don Lakshan Rangika Sandakan,19(2016-),28,4.67
Kevin T Sandher,15(2006-2007),36,6
Balwinder S Sandhu,22(1982-1984),51,12.75
Gurinder S Sandhu,2(2015-2015),0,N/A
Kumar C Sangakkara,404(2000-2015),14234,41.99
Rahul L Sanghvi,10(1998-1998),8,4
Mitchell Josef Santner,59(2015-),826,27.53
Sanwar Hossain,27(1998-2003),290,11.6
Saqib Ali,5(2008-2014),84,21
Saqlain Haider,5(2014-),58,14.5
Saqlain Mushtaq,169(1995-2003),711,11.85
Sarandeep Singh,5(2002-2003),47,15.67
Sarfraz Ahmed,101(2007-),1942,32.92
Sarfraz Nawaz,45(1973-1984),221,9.61
Pawan Sarraf,2(2019-2019),12,6
Ramnaresh R Sarwan,181(2000-2013),5804,42.68
Abdur F Sattaur,3(2003-2003),20,6.67
Sayed Ahmad Shirzad,1(2019-2019),0,N/A
Marcelis M C Schewe,5(1996-1996),49,16.33
Edgar Schiferli,30(2002-2013),161,10.06
Reiout H Scholte,5(2002-2003),39,7.8
Brett N Schultz,1(1992-1992),0,N/A
Glenroy R Sealy,3(1979-1979),73,24.33
Barry B Seebaran,4(2003-2003),4,4
Peter M Seelaar,39(2006-),125,9.62
Surendra Seeraj,1(2006-2006),13,N/A
Virender Sehwag,251(1999-2013),8273,35.06
Tim Louis Seifert,3(2019-),33,16.5
Thirumalai A P Sekar,4(1983-1985),0,N/A
Keith F Semple,7(1999-1999),64,10.67
Charith P Senanayake,7(1990-1991),126,18
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,49(2012-2015),290,13.18
Craig S Serjeant,3(1977-1978),73,24.33
Ramesh K Sethi,3(1975-1975),54,18
Shabbir Ahmed,32(1999-2005),10,1.67
Shabir Noori,10(2010-),191,19.1
Shadab Kabir,3(1996-1996),0,0
Shadab Khan,34(2017-),294,29.4
Shafiq Ahmed,3(1977-1978),41,13.67
Shafiqullah,24(2009-),430,22.63
Shafiuddin Ahmed,11(1997-2000),22,5.5
Shafiul Islam,56(2010-),126,6.3
Kinchit D Shah,10(2014-),136,15.11
Owais A Shah,71(2001-2009),1834,30.57
Ravindu D Shah,56(1998-2007),1506,27.89
Shahadat Hossain,51(2006-2013),79,7.9
Shaheedur Rahman,2(1986-1986),62,31
Shaheen Shah Afridi,10(2018-),15,15
Shahid Afridi,398(1996-2015),8064,23.58
Shahid Anwar,1(1996-1996),37,37
Shahid Mahboob,10(1982-1984),119,23.8
Shahid Nazir,17(1996-2000),25,25
Shahid Saeed,10(1989-1993),141,14.1
Shahid Wasif,10(2016-),81,11.57
Shahriar Hossain,20(1997-2004),362,19.05
Shahriar Nafees,75(2005-2011),2201,31.44
Shahzad Khan,1(2007-2007),4,4
Shahzaib Hasan,3(2010-2010),100,33.33
Shaiman Anwar,36(2014-),1107,31.63
Shakeel Ahmed,2(1995-1995),61,30.5
Shakeel Khan,1(1987-1987),0,0
Shakib Al Hasan,195(2006-),5577,35.08
Tabraiz Shamsi,13(2016-),0,0
Aftabodeen Shamsuden,1(2007-2007),3,3
Shamsur Rahman,10(2013-2014),266,26.6
Madagamagamage Dasun Shanaka,19(2016-),327,21.8
Vijay Shankar,5(2019-),45,45
James Norman Knight Shannon,1(2013-2013),2,2
Shapoor Zadran,43(2009-),67,6.7
Sharafuddin Ashraf,14(2014-),53,8.83
Safyaan M Sharif,36(2011-),211,14.07
Shariful Haque,1(1998-1998),10,10
Sharjeel Khan,25(2013-),812,32.48
Ajay K Sharma,31(1988-1993),424,20.19
Chetan Sharma,65(1983-1994),456,24
Gopal Sharma,11(1985-1987),11,5.5
Ishant Sharma,80(2007-2016),72,4.8
Karn V Sharma,2(2014-2014),0,N/A
Mohit Mahipal Sharma,26(2013-2015),31,7.75
Parthasarathy H Sharma,2(1976-1976),20,10
Rahul Sharma,2(2004-2004),11,5.5
Rahul Sharma,4(2011-2012),1,1
Rohit G Sharma,202(2007-),7845,47.55
Sanjeev K Sharma,23(1988-1990),80,10
Ravishankar J Shastri,150(1981-1992),3108,29.05
Timothy G Shaw,9(1991-1994),26,13
Andrew P Sheahan,3(1972-1972),75,25
Shehzad Altaf,2(1996-1996),0,N/A
Mohammad Sheikh,21(1997-2000),68,6.8
Mohammad Q Sheikh,7(2008-2010),63,10.5
Vikrant Shetty,2(2008-2014),16,8
Mthokozisi Shezi,1(2014-2014),0,N/A
Irvine T Shillingford,2(1978-1978),30,15
Sew Shivnarine,1(1978-1978),20,N/A
Shoaib Akhtar,163(1998-2011),394,8.95
Shoaib Malik,279(1999-),7379,35.14
Shoaib Mohammad,63(1984-1993),1269,24.4
D'Arcy John Matthew Short,4(2018-),83,27.67
Shubman Gill,2(2019-),16,8
Laxmi R Shukla,3(1999-1999),18,9
Kenneth Shuttleworth,1(1971-1971),7,7
Shuvagata Hom,4(2011-2011),70,35
Lega Siaka,16(2014-),290,18.13
Vusimuzi Sibanda,127(2003-),2994,24.54
Peter M Siddle,20(2009-2019),31,10.33
James D Siddons,1(1988-1988),32,32
Ryan J Sidebottom,25(2001-2010),133,13.3
Navjot S Sidhu,136(1987-1998),4413,37.08
Sikandar Raza,88(2013-),2477,34.4
Sikander Bakht,27(1977-1989),31,7.75
E H Shadeep N Silva,1(2008-2008),7,7
Kelaniyage J Silva,1(1995-1995),1,N/A
Lindamlilage P C Silva,75(1999-2011),1588,28.87
Sampathawudage A R Silva,20(1984-1985),441,22.05
Christopher E W Silverwood,7(1996-2001),17,4.25
Simandeep Singh,1(2018-),0,0
Simi Singh,12(2017-),159,15.9
Lendl M P Simmons,68(2006-2015),1958,31.58
Philip V Simmons,143(1987-1999),3675,28.94
Eric O Simons,23(1994-1995),217,15.5
Robert B Simpson,2(1978-1978),36,18
Richard W Sims,3(2002-2003),31,31
Matthew S Sinclair,54(2000-2009),1304,28.35
Rudra Pratap Singh,2(1986-1986),0,N/A
Rudra Pratap Singh,58(2005-2011),104,10.4
Rabindra Ramanarayan Singh,136(1989-2001),2336,25.96
Vikram R Singh,2(2006-2006),8,8
Tisse Appuhamilage Milinda Siriwardana,26(2015-),513,23.32
Laxman Sivaramakrishnan,16(1985-1987),5,2.5
Skhawit Ali,4(2008-2014),46,11.5
Wilfred N Slack,2(1986-1986),43,21.5
Michael J Slater,42(1993-1997),987,24.07
Gladstone C Small,53(1987-1992),98,6.53
Milton A Small,2(1984-1984),0,N/A
Timothy T Smart,2(2004-2004),34,17
Clay J Smith,12(2006-2007),192,16
Colin J O Smith,27(2006-2009),432,19.64
Christopher L Smith,4(1984-1984),109,27.25
David M Smith,2(1986-1990),15,15
Dwayne R Smith,105(2004-2015),1560,18.57
Devon S Smith,47(2003-2013),1059,24.63
Graeme C Smith,197(2002-2013),6989,37.98
Ian D S Smith,98(1980-1992),1055,17.3
Mclaren Smith,1(2008-2008),0,N/A
Michael John Smith,5(1973-1974),70,14
Michael Jonathon Smith,5(1999-1999),19,3.8
Neil M K Smith,7(1996-1996),100,20
Robin A Smith,71(1988-1996),2419,39.02
Ruaidhri A J Smith,2(2016-),10,10
Stephen B Smith,28(1983-1985),861,39.14
Steven P D Smith,108(2010-),3431,41.84
Jeroen Smits,38(2003-2009),168,16.8
Jeremy N Snape,10(2001-2002),118,29.5
Shane Snater,2(2018-),12,6
Martin C Snedden,93(1980-1990),535,15.29
Richard P Snell,42(1991-1996),322,16.1
John A Snow,9(1971-1975),9,4.5
Garfield St Aubrun Sobers,1(1973-1973),0,0
Inderbir S Sodhi,30(2015-),62,6.2
Reetinder S Sodhi,18(2000-2002),280,25.45
Sohag Gazi,20(2012-2014),184,15.33
Sohaib Maqsood,26(2013-2016),735,31.96
Sohail Butt,2(1994-1994),8,8
Sohail Fazal,2(1989-1989),56,28
Sohail Khan,13(2008-),25,5
Sohail Tanvir,62(2007-2014),399,13.76
Vikram S Solanki,51(2000-2006),1097,26.76
Christopher B Sole,8(2016-),9,2.25
Thomas Barclay Sole,8(2018-),31,10.33
Eknath D Solkar,7(1974-1976),27,4.5
Sujith B Somasunder,2(1996-1996),16,8
Sompal Kami,6(2018-),146,36.5
Chad A Soper,12(2016-),158,15.8
Durand Soraine,4(2006-2012),14,3.5
Max C Sorensen,13(2013-),125,20.83
Soumya Sarkar,41(2014-),1274,34.43
Timothy G Southee,139(2008-),669,12.62
Craig M Spearman,51(1995-2001),936,18.72
Barinder B Sran,6(2016-),0,N/A
Laxman Sreekumar,4(2015-),61,15.25
Shanthakumaran Sreesanth,53(2005-2011),44,4
Krishnamachari Srikkanth,146(1981-1992),4091,29.01
Javagal Srinath,229(1991-2003),883,10.64
Tirumalai E Srinivasan,2(1980-1981),10,5
Sridharan Sriram,8(2000-2004),81,13.5
Keith R Stackpole,6(1971-1974),224,37.33
Jan H Stander,5(2009-2012),44,11
Ian M Stanger,5(1999-2006),50,10
Billy Stanlake,7(2017-),4,1.33
Richard W Staple,2(2004-2004),4,2
Mitchell Aaron Starc,75(2010-),280,12.73
Nick A Statham,3(2003-2009),7,2.33
Martin P Stead,2(1979-1979),10,5
Ryan D Steede,8(2006-2008),70,11.67
David S Steele,1(1976-1976),8,8
William F Stelling,15(2006-2007),180,30
Graham B Stevenson,4(1980-1981),43,43
Alec J Stewart,170(1989-2003),4677,31.6
Errol L R Stewart,6(1993-2002),61,15.25
Shanan L Stewart,4(2010-2010),26,6.5
Dale W Steyn,124(2005-),365,9.36
Phillipus J R Steyn,1(1995-1995),4,4
Derek A Stirling,6(1984-1984),21,7
Paul Robert Stirling,102(2008-),3435,35.41
Marcus Peter Stoinis,25(2015-),844,42.2
Benjamin Andrew Stokes,79(2011-),2088,36.63
Lesley W Stokkers,1(2008-2008),15,N/A
Oliver Peter Stone,4(2018-),9,N/A
Leslie W Stott,1(1979-1979),0,N/A
Bryan Colin Strang,49(1995-2001),92,5.11
Paul A Strang,95(1994-2001),1090,22.24
Andrew J Strauss,127(2003-2011),4205,35.64
Heath H Streak,189(1993-2005),2943,28.3
Gregory M Strydom,12(2006-2006),147,14.7
Pieter C Strydom,10(2000-2000),48,9.6
Reinhardt Strydom,9(2008-2008),83,13.83
Anthony M Stuart,3(1997-1997),1,1
Colin E L Stuart,5(2001-2001),3,N/A
Scott B Styris,188(1999-2011),4483,32.49
Murphy L Su'A,12(1992-1995),24,4.8
Subashis Roy,1(2016-),1,N/A
Ramchandra Sudhakar Rao,1(1976-1976),4,4
Suhrawadi Shuvo,17(2010-2011),98,14
Anthony O Suji,60(1996-2008),506,12.97
Martin A Suji,64(1996-2006),247,8.23
Sultan Zarawani,7(1994-1996),26,4.33
Glen P Sulzberger,3(2000-2000),9,9
Shiraz Sumar,1(1975-1975),4,4
Sunzamul Islam,3(2017-),19,19
Zubin E Surkari,23(2008-2011),328,17.26
Stephan J Swanepoel,5(2003-2003),43,8.6
Graeme P Swann,79(2000-2013),500,13.89
Michael R Swart,12(2011-2014),197,19.7
Syed Maqsood,2(2004-2004),18,9
Syed Rasel,52(2005-2010),81,4.76
Patrick Leonard Symcox,80(1993-1999),694,16.93
Andrew Symonds,198(1998-2009),5088,39.75
Gerrie Synman,5(2003-2003),5,1.25
Eric S Szwarczynski,41(2006-2014),1102,29.78
Tabarak Dar,4(2004-2008),101,25.25
Tahir Naqqash,40(1980-1985),210,15
Tatenda Taibu,150(2001-2012),3393,29.25
Taijul Islam,4(2014-),21,10.5
Alex R Tait,5(1998-1999),35,11.67
Shaun W Tait,35(2007-2011),25,12.5
Talha Jubair,6(2002-2003),5,2.5
Tamim Iqbal,189(2007-),6460,36.09
Tanbir Hayder,2(2016-),5,2.5
Tanveer Ahmed,6(2016-),4,N/A
Tanvir Ahmed,2(2011-2011),18,18
Tanvir Mehdi,1(1992-1992),0,0
Tanwir Afzal,20(2014-),290,18.13
Tapash Baisya,56(2002-2007),336,12
Tareq Aziz,10(2002-2004),26,26
Tariq Javed,3(1979-1979),15,5
Taskin Ahmed,32(2014-),41,4.1
Taslim Arif,2(1980-1980),28,14
Taufeeq Umar,22(2001-2011),504,24
Tausif Ahmed,70(1982-1990),116,10.55
Christopher James Tavare,29(1980-1984),720,27.69
Bruce R Taylor,2(1973-1973),22,22
Brendan R M Taylor,188(2004-),6156,35.79
Jerome E Taylor,90(2003-2017),278,8.42
Jonathan P Taylor,1(1993-1993),1,1
James W A Taylor,27(2011-2015),887,42.24
Leslie B Taylor,2(1986-1986),1,N/A
Luteru Ross Poutoa Lote Taylor,218(2006-),8026,48.35
Mark A Taylor,113(1989-1997),3514,32.24
Peter L Taylor,83(1987-1992),437,19.86
Robert M L Taylor,15(2013-2016),154,14
Robert W Taylor,27(1973-1984),130,13
Roger Telemachus,37(1998-2006),73,6.08
Ryan N ten Doeschate,33(2006-2011),1541,67
Sachin R Tendulkar,463(1989-2012),18426,44.83
Anura P B Tennekoon,4(1975-1979),137,34.25
Daniel James ter Braak,2(2018-),40,20
David J Terbrugge,4(2000-2000),5,5
Sean P Terry,5(2016-),32,6.4
Vinoo A B Tewarie,1(2011-2011),4,4
Shardul Narendra Thakur,5(2017-),22,22
Warushavithana Upul Tharanga,232(2005-),6936,34.17
Juan Theron,4(2010-2010),5,5
Hettige Don Rumesh Lahiru Thirimanne,117(2010-),2946,34.66
Devon C Thomas,21(2009-2013),238,14
John G Thomas,3(1986-1987),1,1
Oshane Romaine Thomas,9(2018-),0,0
Ewen P Thompson,1(2009-2009),0,N/A
Greg J Thompson,3(2008-2008),2,1
Patterson I C Thompson,2(1997-1997),2,2
Stuart Robert Thompson,20(2013-),228,16.29
Alan L Thomson,1(1971-1971),0,N/A
Jeffrey Robert Thomson,50(1975-1985),181,7.54
Shane A Thomson,56(1990-1996),964,22.95
Graham P Thorpe,82(1993-2002),2380,37.19
Sanjayan Thuraisingam,10(2003-2008),45,6.43
Magina Thilan Thushara Mirando Thushara,38(2008-2010),392,18.67
Lazaro O Tikolo,3(1996-1996),36,N/A
Stephen O Tikolo,135(1996-2014),3428,29.05
Hashan Prasantha Tillakaratne,200(1986-2003),3789,29.6
Donald T Tiripano,24(2014-),199,15.31
Michael H Tissera,3(1975-1975),78,26
Frederick John Titmus,2(1975-1975),11,11
Manoj K Tiwary,12(2008-2015),287,26.09
Saurabh S Tiwary,3(2010-2010),49,N/A
Roger W Tolchard,1(1979-1979),0,N/A
Gavin C Tonge,5(2009-2009),10,5
Peter M Toohey,5(1978-1979),105,52.5
Reece J W Topley,10(2015-2016),7,7
Athanasios J Traicos,27(1983-1993),88,11
James Cullum Tredwell,45(2010-2015),163,11.64
Christopher P Tremain,4(2016-),23,23
Christopher T Tremlett,15(2005-2011),50,7.14
Marcus E Trescothick,123(2000-2006),4335,37.37
Glenn S Trimble,2(1986-1986),4,4
Ian J L Trott,68(2009-2013),2819,51.25
Rodney J Trott,11(2007-2009),130,21.67
Jamie O Troughton,6(2003-2003),36,9
Gary B Troup,22(1976-1985),101,25.25
Thandi Tshabalala,4(2007-2007),2,N/A
Lonwabo L Tsotsobe,61(2009-2013),56,7
Janeiro J Tucker,26(2006-2009),496,19.84
Tamauri E Tucker,5(2008-2009),0,N/A
Carl M Tuckett,1(1998-1998),0,N/A
Alex Jeremy Tudor,3(2002-2002),9,9
Daryl R Tuffey,94(2000-2010),295,9.52
Philip Clive Roderick Tufnell,20(1990-1997),15,15
Alan Turner,6(1975-1975),247,41.17
Ashton James Turner,1(2019-2019),21,21
Glenn M Turner,41(1973-1983),1598,47
Tushar Imran,41(2001-2007),574,14.35
Roger G Twose,87(1995-2001),2717,38.81
Sudeep Tyagi,4(2009-2010),1,N/A
Andrew James Tye,7(2018-),57,14.25
Shaun D Udal,11(1994-2005),35,11.67
Isuru Udana Tillakaratna,2(2012-2012),0,N/A
Mahela L Udawatte,9(2008-2008),257,28.56
Umair Ali,2(2015-2015),20,10
Umar Akmal,116(2009-),3044,34.59
Umar Amin,16(2010-),271,18.07
Umar Gul,130(2003-),457,9.72
Jaydev D Unadkat,7(2013-2013),0,N/A
Derek L Underwood,26(1973-1982),53,5.89
Kalutarage Eric A Upashantha,12(1995-2001),49,7
Tony P Ura,17(2014-),508,29.88
Usman Ghani,15(2014-),411,27.4
Usman Limbada,11(2010-2014),189,18.9
Usman Mushtaq,1(2015-2015),3,3
Usman Salahuddin,2(2011-2011),13,6.5
Usman Khan Shinwari,12(2017-),0,0
Robin V Uthappa,46(2006-2015),934,25.94
Prosper Utseya,164(2004-2015),1406,16.74
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,322(1994-2008),2025,13.68
Aldesh V Vadher,18(1997-1999),278,27.8
Prashant S Vaidya,4(1995-1996),15,7.5
Asadollah Vala,18(2014-),373,20.72
John N Valentine,3(1979-1979),3,N/A
Daan L S van Bunge,37(2002-2013),633,21.1
Hendrik Erasmus van der Dussen,5(2019-2019),241,120.5
Timm van der Gugten,4(2012-2013),4,2
Albert van der Merwe,9(2010-2011),15,3.75
Roelof E van der Merwe,13(2009-2010),39,9.75
Johannes J van der Wath,10(2006-2007),89,14.83
Martin van Jaarsveld,11(2002-2004),124,20.67
Vaughn B van Jaarsveld,2(2009-2009),9,4.5
Paul A van Meekeren,4(2013-),30,N/A
Maurits W A van Nierop,2(2006-2006),35,35
Klass-Jan J van Noortwijk,9(1996-2003),322,46
Robert F Van Oosterom,3(1996-2002),7,7
Burton O van Rooi,3(2003-2003),26,26
Melt van Schoor,5(2003-2003),58,14.5
Lucas P van Troost,23(2002-2007),284,15.78
Rudolph J van Vuuren,5(2003-2003),26,8.67
Morne N van Wyk,17(2003-2015),425,26.56
Cornelius J P G Van Zyl,2(1992-1992),3,3
Robert H Vance,8(1988-1989),248,31
Jeffrey Dexter Francis Vandersay,11(2015-),71,11.83
Michael G Vandort,1(2006-2006),48,48
Norman Vanua,14(2014-),150,16.67
Hiren A Varaiya,63(2006-2014),254,12.1
Jack N T Vare,9(2014-),81,10.13
John C B Vaughan,3(1979-1979),30,10
Justin T C Vaughan,18(1992-1996),162,18
Michael P Vaughan,86(2001-2007),1982,27.15
Michael R J Veletta,20(1987-1989),484,32.27
Dillip B Vengsarkar,129(1976-1991),3508,34.73
Srinivasaraghavan Venkataraghavan,15(1974-1983),54,10.8
Margasaghayam Venkataramana,1(1988-1988),0,N/A
Yalaka Venugopal Rao,16(2005-2006),218,24.22
Mark A Vermeulen,43(2000-2009),868,22.26
Sharad Vesawkar,1(2018-),4,4
Daniel L Vettori,295(1997-2015),2253,17.33
Murali Vijay,17(2010-2015),339,21.19
Dirk P Viljoen,53(1997-2001),512,14.22
Ranganath Vinay Kumar,31(2010-2013),86,9.56
James M Vince,6(2015-),131,26.2
Lou Vincent,102(2001-2007),2413,27.11
Gundappa R Viswanath,25(1974-1982),439,19.95
Sandanand Viswanath,22(1985-1988),72,9
Kasun Disi Kithuruwan Vithanage,6(2013-2014),75,15
Brian V Vitori,24(2011-),86,7.82
Graham E Vivian,1(1973-1973),14,14
Adam C Voges,31(2007-2013),870,45.79
Dudley M Vonhagt,1(1985-1985),8,8
Matthew Scott Wade,94(2012-),1777,25.75
Ajit L Wadekar,2(1974-1974),73,36.5
Kenneth J Wadsworth,13(1973-1976),258,28.67
Wahab Riaz,79(2008-),589,13.7
Wahidul Gani,1(1988-1988),0,N/A
Wajahatullah Wasti,15(1999-2000),349,23.27
Brooke G K Walker,11(2000-2002),47,15.67
Matthew D J Walker,3(2003-2003),10,10
Maxwell Henry Norman Walker,17(1974-1981),79,9.88
Craig D Wallace,22(2012-),328,18.22
Philo A Wallace,33(1991-2000),701,21.24
Andrew C Waller,39(1987-1997),818,23.37
Malcolm Noel Waller,79(2009-),1259,19.08
Kerry P Walmsley,2(2003-2003),0,N/A
Courtney A Walsh,205(1985-2000),321,6.98
Kevin Douglas Walters,28(1971-1981),513,28.5
Riaan Walters,2(2003-2003),0,0
Chadwick Antonio Kirkpatrick Walton,9(2009-),53,6.63
Samuel Walusimbi,3(1975-1975),38,12.67
Waqar Younis,262(1989-2003),969,10.31
Waqas Barkat,10(2014-),102,12.75
Waqas Khan,8(2015-),67,16.75
Iain Wardlaw,22(2013-2015),21,3.5
Bandula Warnapura,12(1975-1982),180,15
Basnayake S M Warnapura,3(2007-2008),35,11.67
Khahakachchi P J Warnaweera,6(1990-1993),1,N/A
Shane K Warne,194(1993-2005),1018,13.05
David A Warner,106(2009-),4343,43.43
Washington Sundar,1(2017-),0,N/A
Wasim Akram,356(1984-2003),3717,16.52
Wasim Bari,51(1973-1984),221,17
Wasim Haider,3(1992-1992),26,13
Wasim Raja,54(1973-1985),782,22.34
Atul S Wassan,9(1990-1991),33,8.25
